timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
###############################################################################################################################################################################################################################################################,647,76 /success.txt,200,OK,Thread Group 1-1,text,TRUE,,384,363,1,1,647,0,210
###############################################################################################################################################################################################################################################################,440,77 /success.txt,200,OK,Thread Group 1-1,text,TRUE,,384,363,2,2,440,0,47
###############################################################################################################################################################################################################################################################,431,76 /success.txt,200,OK,Thread Group 1-2,text,TRUE,,384,363,2,2,431,0,38
###############################################################################################################################################################################################################################################################,433,77 /success.txt,200,OK,Thread Group 1-2,text,TRUE,,384,363,2,2,433,0,42
###############################################################################################################################################################################################################################################################,3621,78 /index.php,200,OK,Thread Group 1-1,text,TRUE,,18733,361,3,3,1661,0,867
###############################################################################################################################################################################################################################################################,831,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-1,text,TRUE,,5731,489,3,3,831,0,181
###############################################################################################################################################################################################################################################################,423,76 /success.txt,200,OK,Thread Group 1-3,text,TRUE,,384,363,3,3,423,0,29
###############################################################################################################################################################################################################################################################,856,84 /include/javascript/calendar.js,200,OK,Thread Group 1-1,text,TRUE,,10278,429,3,3,774,0,0
###############################################################################################################################################################################################################################################################,2884,78 /index.php,200,OK,Thread Group 1-2,text,TRUE,,18733,361,3,3,929,0,158
###############################################################################################################################################################################################################################################################,799,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-2,text,TRUE,,5731,489,4,4,799,0,149
###############################################################################################################################################################################################################################################################,851,84 /include/javascript/calendar.js,200,OK,Thread Group 1-2,text,TRUE,,10278,429,4,4,769,0,0
###############################################################################################################################################################################################################################################################,429,76 /success.txt,200,OK,Thread Group 1-4,text,TRUE,,384,363,4,4,429,0,37
###############################################################################################################################################################################################################################################################,6008,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-1,text,TRUE,,122763,489,4,4,776,0,0
###############################################################################################################################################################################################################################################################,6005,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-2,text,TRUE,,122763,489,5,5,775,0,0
###############################################################################################################################################################################################################################################################,9257,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-1,text,TRUE,,190696,437,6,6,919,0,148
###############################################################################################################################################################################################################################################################,9314,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-2,text,TRUE,,190696,437,7,7,965,0,191
###############################################################################################################################################################################################################################################################,432,76 /success.txt,200,OK,Thread Group 1-7,text,TRUE,,384,363,7,7,432,0,40
###############################################################################################################################################################################################################################################################,795,77 /success.txt,200,OK,Thread Group 1-7,text,TRUE,,384,363,8,8,795,0,404
###############################################################################################################################################################################################################################################################,529,76 /success.txt,200,OK,Thread Group 1-8,text,TRUE,,384,363,8,8,529,0,135
###############################################################################################################################################################################################################################################################,2892,78 /index.php,200,OK,Thread Group 1-7,text,TRUE,,18733,361,9,9,936,0,167
###############################################################################################################################################################################################################################################################,714,77 /success.txt,200,OK,Thread Group 1-8,text,TRUE,,384,363,9,9,714,0,322
###############################################################################################################################################################################################################################################################,816,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-7,text,TRUE,,5731,489,9,9,816,0,169
###############################################################################################################################################################################################################################################################,851,84 /include/javascript/calendar.js,200,OK,Thread Group 1-7,text,TRUE,,10278,429,9,9,769,0,0
###############################################################################################################################################################################################################################################################,527,76 /success.txt,200,OK,Thread Group 1-9,text,TRUE,,384,363,9,9,527,0,134
###############################################################################################################################################################################################################################################################,611,77 /success.txt,200,OK,Thread Group 1-9,text,TRUE,,384,363,10,10,611,0,219
###############################################################################################################################################################################################################################################################,2917,78 /index.php,200,OK,Thread Group 1-8,text,TRUE,,18733,361,10,10,959,0,193
