timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528345956498,647,76 /success.txt,200,OK,Thread Group 1-1,text,true,,384,363,1,1,647,0,210
1528345959149,440,77 /success.txt,200,OK,Thread Group 1-1,text,true,,384,363,2,2,440,0,47
1528345961341,431,76 /success.txt,200,OK,Thread Group 1-2,text,true,,384,363,2,2,431,0,38
1528345963774,433,77 /success.txt,200,OK,Thread Group 1-2,text,true,,384,363,2,2,433,0,42
1528345961592,3621,78 /index.php,200,OK,Thread Group 1-1,text,true,,18733,361,3,3,1661,0,867
1528345965222,831,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-1,text,true,,5731,489,3,3,831,0,181
1528345966387,423,76 /success.txt,200,OK,Thread Group 1-3,text,true,,384,363,3,3,423,0,29
1528345966054,856,84 /include/javascript/calendar.js,200,OK,Thread Group 1-1,text,true,,10278,429,3,3,774,0,0
1528345966209,2884,78 /index.php,200,OK,Thread Group 1-2,text,true,,18733,361,3,3,929,0,158
1528345969097,799,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-2,text,true,,5731,489,4,4,799,0,149
1528345969898,851,84 /include/javascript/calendar.js,200,OK,Thread Group 1-2,text,true,,10278,429,4,4,769,0,0
1528345971357,429,76 /success.txt,200,OK,Thread Group 1-4,text,true,,384,363,4,4,429,0,37
1528345966915,6008,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-1,text,true,,122763,489,4,4,776,0,0
1528345970750,6005,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-2,text,true,,122763,489,5,5,775,0,0
1528345972926,9257,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-1,text,true,,190696,437,6,6,919,0,148
1528345976761,9314,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-2,text,true,,190696,437,7,7,965,0,191
1528345986369,432,76 /success.txt,200,OK,Thread Group 1-7,text,true,,384,363,7,7,432,0,40
1528345988804,795,77 /success.txt,200,OK,Thread Group 1-7,text,true,,384,363,8,8,795,0,404
1528345991369,529,76 /success.txt,200,OK,Thread Group 1-8,text,true,,384,363,8,8,529,0,135
1528345991603,2892,78 /index.php,200,OK,Thread Group 1-7,text,true,,18733,361,9,9,936,0,167
1528345993901,714,77 /success.txt,200,OK,Thread Group 1-8,text,true,,384,363,9,9,714,0,322
1528345994497,816,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-7,text,true,,5731,489,9,9,816,0,169
1528345995314,851,84 /include/javascript/calendar.js,200,OK,Thread Group 1-7,text,true,,10278,429,9,9,769,0,0
1528345996386,527,76 /success.txt,200,OK,Thread Group 1-9,text,true,,384,363,9,9,527,0,134
1528345998916,611,77 /success.txt,200,OK,Thread Group 1-9,text,true,,384,363,10,10,611,0,219
1528345996618,2917,78 /index.php,200,OK,Thread Group 1-8,text,true,,18733,361,10,10,959,0,193
1528345999537,787,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-8,text,true,,5731,489,10,10,787,0,140
1528345976387,24421,76 /success.txt,200,OK,Thread Group 1-5,text,true,,384,363,10,10,24421,0,24029
1528346000325,853,84 /include/javascript/calendar.js,200,OK,Thread Group 1-8,text,true,,10278,429,10,10,770,0,0
1528346001401,532,76 /success.txt,200,OK,Thread Group 1-10,text,true,,384,363,10,10,532,0,139
1528345996166,6004,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-7,text,true,,122763,489,10,10,774,0,0
1528345973790,28437,77 /success.txt,200,OK,Thread Group 1-4,text,true,,384,363,10,10,28437,0,28045
1528345981370,21432,76 /success.txt,200,OK,Thread Group 1-6,text,true,,384,363,10,10,21432,0,21039
1528346002820,667,77 /success.txt,200,OK,Thread Group 1-5,text,true,,384,363,10,10,667,0,274
1528346001530,2872,78 /index.php,200,OK,Thread Group 1-9,text,true,,18733,361,10,10,915,0,148
1528346003936,608,77 /success.txt,200,OK,Thread Group 1-10,text,true,,384,363,10,10,608,0,216
1528346004403,801,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-9,text,true,,5731,489,10,10,801,0,152
1528346004813,668,77 /success.txt,200,OK,Thread Group 1-6,text,true,,384,363,10,10,668,0,276
1528346005205,853,84 /include/javascript/calendar.js,200,OK,Thread Group 1-9,text,true,,10278,429,10,10,771,0,0
1528346004239,2901,78 /index.php,200,OK,Thread Group 1-4,text,true,,18733,361,10,10,945,0,178
1528346001179,6010,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-8,text,true,,122763,489,10,10,776,0,0
1528346007143,801,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-4,text,true,,5731,489,10,10,801,0,154
1528346005489,2870,78 /index.php,200,OK,Thread Group 1-5,text,true,,18733,361,10,10,915,0,147
1528346007945,852,84 /include/javascript/calendar.js,200,OK,Thread Group 1-4,text,true,,10278,429,10,10,770,0,0
1528346008361,823,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-5,text,true,,5731,489,10,10,823,0,177
1528346006547,2913,78 /index.php,200,OK,Thread Group 1-10,text,true,,18733,361,10,10,957,0,191
1528346009185,851,84 /include/javascript/calendar.js,200,OK,Thread Group 1-5,text,true,,10278,429,10,10,769,0,0
1528346009461,786,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-10,text,true,,5731,489,10,10,786,0,140
1528346007483,2870,78 /index.php,200,OK,Thread Group 1-6,text,true,,18733,361,10,10,915,0,147
1528345968814,42005,77 /success.txt,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection timed out: connect,Thread Group 1-3,text,false,,2206,0,10,10,0,0,42005
1528346010248,852,84 /include/javascript/calendar.js,200,OK,Thread Group 1-10,text,true,,10278,429,10,10,770,0,0
1528346010354,787,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-6,text,true,,5731,489,10,10,787,0,141
1528346002175,9250,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-7,text,true,,190696,437,10,10,911,0,140
1528346011142,851,84 /include/javascript/calendar.js,200,OK,Thread Group 1-6,text,true,,10278,429,10,10,769,0,0
1528346006060,6005,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-9,text,true,,122763,489,10,10,773,0,0
1528345982194,30919,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-1,text,true,,662949,444,10,10,957,0,185
1528346013125,1004,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-1,text,true,,9359,497,10,10,964,0,192
1528346008798,6006,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-4,text,true,,122763,489,10,10,775,0,0
1528346012839,2935,78 /index.php,200,OK,Thread Group 1-3,text,true,,18733,361,10,10,981,0,212
